,0
1627,4
1628,7
1629,16
1630,8
1631,6
1632,28
1633,3
1634,7
1635,15
1636,8
1637,8
1638,17
1639,23
1640,6
1641,50
1642,32
1643,7
1644,59
1645,17
1646,3
1647,4
1648,33
1649,51
1650,9
1651,6
1652,57
1653,2
1654,6
1655,15
1656,8
1657,1
1658,14
1659,3
1660,23
1661,1
1662,33
1663,2
1664,28
1665,29
1666,4
1667,6
1668,16
1669,17
1670,2
1671,20
1672,29
1673,1
1674,20
1675,4
1676,58
1677,2
1678,35
1679,1
1680,20
1681,9
1682,34
1683,34
1684,1
1685,7
1686,7
1687,4
1688,3
1689,25
1690,2
1691,15
1692,34
1693,34
1694,9
1695,36
1696,12
1697,1
1698,9
1699,13
1700,24
1701,62
1702,29
1703,1
1704,1
1705,16
1706,1
1707,4
1708,2
1709,6
1710,47
1711,2
1712,3
1713,2
1714,2
1715,14
1716,20
1717,18
1718,15
1719,15
1720,4
1721,5
1722,30
1723,4
1724,3
1725,23
1726,4
1727,4
1728,2
1729,21
1730,17
1731,30
1732,1
1733,2
1734,8
1735,9
1736,2
1737,4
1738,22
1739,3
1740,2
1741,8
1742,30
1743,4
1744,16
1745,4
1746,10
1747,30
1748,4
1749,3
1750,32
1751,3
1752,15
1753,22
1754,3
1755,1
1756,2
1757,1
1758,1
1759,41
1760,4
1761,41
1762,2
1763,5
1764,2
1765,18
1766,7
1767,12
1768,60
1769,2
1770,53
1771,31
1772,9
1773,5
1774,10
1775,1
1776,6
1777,15
1778,22
1779,7
1780,12
1781,9
1782,11
1783,42
1784,4
1785,27
1786,26
1787,5
1788,14
1789,34
1790,54
1791,16
1792,52
1793,1
1794,64
1795,2
1796,26
1797,8
1798,1
1799,31
1800,4
1801,6
1802,1
1803,7
1804,7
1805,6
1806,2
1807,4
1808,8
1809,3
1810,2
1811,22
1812,8
1813,8
1814,6
1815,19
1816,13
1817,7
1818,1
1819,32
1820,8
1821,3
1822,5
1823,1
1824,8
1825,6
1826,2
1827,3
1828,6
1829,5
1830,2
1831,34
1832,16
1833,7
1834,3
1835,44
1836,8
1837,1
1838,7
1839,15
1840,12
1841,14
1842,6
1843,52
1844,1
1845,30
1846,7
